ts,rg1,rg2,rg1tt,rg2tt,rg1tp,rg2tp,temp_bmx,press_bmx,temp_mcp,temp_sht,humidity_sht,si1145_vis,si1145_ir,si1145_uv,wind_spd,wind_dir,wind_gust,wind_gust_dir,heat_idx,wet_bulb_temp,wet_bulb_globe_temp
2026-02-14T00:00:11Z,0,0,0,0,0,0.6,16.3,848,16.4,16.7,71.8,260,254,0,0,91,0,0,16.5,13.4,12.3
2026-02-14T00:15:16Z,0,0,0,0,0,0.6,16.2,847.9,16.4,16.6,72,261,252,0,0,91,0,0,16.4,13.3,12.2
2026-02-14T00:30:22Z,0,0,0,0,0,0.6,16,847.8,16.2,16.5,72.5,259,253,0,0,91,0,0,16.3,13.3,12.1
2026-02-14T00:46:02Z,0,0,0,0,0,0.6,15.9,847.9,16.2,16.3,72.9,260,254,0,0,91,0,0,16.1,13.1,11.9
2026-02-14T01:01:08Z,0,0,0,0,0,0.6,15.7,847.9,16.1,16.1,73.3,259,253,0,0,91,0,0,15.9,13,11.7
2026-02-14T01:16:14Z,0,0,0,0,0,0.6,15.4,847.9,15.7,15.8,74.4,261,253,0,0,91,0,0,15.6,12.9,11.4
2026-02-14T01:31:19Z,0,0,0,0,0,0.6,15.5,848.2,16.1,16.1,74.6,259,253,0,0,90,0.2,0.2,15.9,13.2,11.7
2026-02-14T01:47:05Z,0,0,0,0,0,0.6,16.2,848.3,16.4,16.6,73.1,261,253,0,0,90,0,0,16.4,13.4,12.2
2026-02-14T02:02:11Z,0,0,0,0,0,0.6,16,848.5,16.3,16.4,73.5,262,254,0,0,90,0,0,16.2,13.3,12
2026-02-14T02:17:17Z,0,0,0,0,0,0.6,15.6,848.4,16,16.1,74.8,261,252,0,0,90,0.2,0.2,15.9,13.2,11.7
2026-02-14T02:32:22Z,0,0,0,0,0,0.6,15.4,848.5,15.8,15.9,75.4,259,254,0,0,90,0,0,15.7,13.1,11.5
2026-02-14T02:47:28Z,0,0,0,0,0,0.6,15.1,848.7,15.4,15.5,76.8,260,254,0,0,90,0,0,15.3,12.9,11.1
2026-02-14T03:02:34Z,0,0,0,0,0,0.6,14.9,848.8,15.1,15.3,78.1,260,253,0,0,90,0.2,0.2,15.1,12.8,10.9
2026-02-14T03:17:40Z,0,0,0,0,0,0.6,14.6,848.9,15,15.1,78.8,260,254,0,0,90,0,0,14.9,12.6,10.7
2026-02-14T03:33:02Z,0,0,0,0,0,0.6,14.5,849,14.9,15,79.9,261,263,0,0,90,0,0,14.8,12.7,10.6
2026-02-14T03:48:09Z,0,0,0,0.1,0,0.6,14.5,849.3,14.9,15,80.1,268,321,0,0,90,0,0,14.8,12.7,10.6
2026-02-14T04:03:15Z,0,0,0,0.1,0,0.6,14.7,849.4,14.9,15.1,80.5,280,441,0,0,90,0.2,0.2,14.9,12.9,10.7
2026-02-14T04:18:21Z,0,0,0,0.2,0,0.6,15.1,849.7,15.4,15.4,79.3,295,569,0,0,90,0,0,15.3,13.1,11.1
2026-02-14T04:33:27Z,0,0,0,0.3,0,0.6,16,849.7,16.2,16.2,77.2,314,761,0,0.1,90,0.2,0.2,16.1,13.6,11.9
2026-02-14T04:49:46Z,0,0,0,0.4,0,0.6,17.4,849.8,17.4,17.4,74.3,324,837,0,0.1,95,0.4,0.4,17.2,14.3,13
2026-02-14T05:05:03Z,0,0,0,0.6,0,0.6,19.3,850.1,18.9,18.8,70.8,360,1246,0,0.3,101,0.9,0.9,18.7,15.3,14.4
2026-02-14T05:20:07Z,0,0,0,0.5,0,0.6,19.6,850.2,19.4,19.6,67.8,353,1109,0,0.3,66,0.7,0.7,19.5,15.7,15.1
2026-02-14T05:35:13Z,0,0,0,0.9,0,0.6,19.9,850.4,19.9,20.2,65,415,1880,0,0.6,134,1.5,1.5,20.1,15.8,15.7
2026-02-14T05:50:19Z,0,0,0,1.5,0,0.6,20.7,850.5,20.3,20.6,63.2,541,3366,0,0.7,121,1.7,1.7,20.5,16,16
