ts,rg1,rg2,rg1tt,rg2tt,rg1tp,rg2tp,temp_bmx,press_bmx,temp_mcp,temp_sht,humidity_sht,si1145_vis,si1145_ir,si1145_uv,wind_spd,wind_dir,wind_gust,wind_gust_dir,heat_idx,wet_bulb_temp,wet_bulb_globe_temp
2026-06-14T00:01:00Z,0,0,0,0,0,0,15.5,852.6,15.8,15.9,88.3,259,253,0,0,194,0,0,15.9,14.5,11.7
2026-06-14T00:16:07Z,0,0,0,0,0,0,15.4,852.5,15.7,15.8,88.9,262,255,0,0,194,0,0,15.8,14.5,11.6
2026-06-14T00:31:15Z,0,0,0,0,0,0,15.2,852.4,15.6,15.7,88.9,260,252,0,0,194,0,0,15.6,14.4,11.4
2026-06-14T00:46:23Z,0,0,0,0,0,0,15.1,852.4,15.4,15.4,89.8,260,252,0,0,194,0,0,15.4,14.3,11.2
2026-06-14T01:01:31Z,0,0,0,0,0,0,15,852.5,15.2,15.4,89.9,260,254,0,0,194,0,0,15.4,14.2,11.2
2026-06-14T01:16:39Z,0,0,0,0,0,0,15.1,852.5,15.4,15.5,89.9,260,254,0,0,194,0,0,15.5,14.3,11.3
2026-06-14T01:32:03Z,0,0,0,0,0,0,15.1,852.4,15.4,15.5,89.7,261,253,0,0,194,0,0,15.4,14.3,11.2
2026-06-14T01:47:30Z,0,0,0,0,0,0,14.8,852.4,15.2,15.2,90.9,261,253,0,0,194,0,0,15.2,14.2,11
2026-06-14T02:02:37Z,0,0,0,0,0,0,14.8,852.4,15.1,15.2,91.3,260,254,0,0,194,0,0,15.2,14.2,11
2026-06-14T02:17:45Z,0,0,0,0,0,0,14.7,852.5,14.9,15,91.8,261,253,0,0,194,0,0,15,14.1,10.8
2026-06-14T02:33:06Z,0,0,0,0,0,0,14.7,852.6,15,15.2,91.9,262,253,0,0,194,0,0,15.1,14.2,11
2026-06-14T02:48:14Z,0,0,0,0,0,0,14.9,852.6,15.2,15.3,91.3,260,254,0,0,194,0,0,15.3,14.3,11.1
2026-06-14T03:03:22Z,0,0,0,0,0,0,15.1,852.6,15.4,15.4,91,261,254,0,0,194,0,0,15.4,14.4,11.2
2026-06-14T03:18:30Z,0,0,0,0,0,0,15.1,852.7,15.4,15.5,90.8,260,255,0,0,194,0,0,15.5,14.5,11.3
2026-06-14T03:33:37Z,0,0,0,0,0,0,15.2,852.8,15.6,15.6,90.2,261,268,0,0,194,0,0,15.6,14.4,11.4
2026-06-14T03:48:45Z,0,0,0,0,0,0,15.4,852.9,15.6,15.7,90.3,264,292,0,0,194,0,0,15.7,14.6,11.5
2026-06-14T04:04:10Z,0,0,0,0.1,0,0,15.5,853.1,15.8,15.9,89.5,270,348,0,0,194,0,0,15.9,14.7,11.7
2026-06-14T04:19:18Z,0,0,0,0.1,0,0,15.7,853.2,16,16.1,87.6,277,415,0,0.4,195,0.9,0.9,16.1,14.6,11.9
2026-06-14T04:34:26Z,0,0,0,0.1,0,0,15.9,853.4,16.2,16.3,87.2,283,504,0,0,194,0,0,16.3,14.8,12.1
2026-06-14T04:49:34Z,0,0,0,0.2,0,0,16.1,853.5,16.2,16.4,87.2,294,641,0,0.6,195,1.7,1.7,16.4,14.9,12.2
2026-06-14T05:04:42Z,0,0,0,0.2,0,0,16,853.7,16.2,16.4,86.2,290,581,0,0.5,195,1.3,1.3,16.3,14.7,12.1
2026-06-14T05:19:49Z,0,0,0,0.3,0,0,15.9,853.9,16.2,16.2,86.6,320,924,0,0.4,211,0.9,0.9,16.2,14.7,12
2026-06-14T05:35:15Z,0,0,0,0.5,0,0,16.2,854,16.4,16.5,84.8,356,1319,0,0.9,211,1.7,1.7,16.4,14.7,12.2
2026-06-14T05:50:23Z,0,0,0,0.8,0,0,16.6,854.2,16.9,16.9,82.6,408,1879,0,0.9,211,1.5,1.5,16.8,14.8,12.6
2026-06-14T06:05:31Z,0,0,0,0.9,0,0,16.9,854.3,17.2,17.3,80.8,426,2049,0,0.7,152,2.4,2.4,17.2,15,13
2026-06-14T06:20:38Z,0,0,0,0.9,0,0,17.5,854.3,17.7,17.7,81.4,415,1884,0,0,225,0,0,17.7,15.5,13.4
